MES,ANO,TMAX,TMIN,ETP
7,1990,19.9906451612903,8.57709677419355,1.30697440546647
8,1990,24.4922580645161,12.1087096774194,1.81943554816968
9,1990,24.7226666666667,11.7456666666667,2.23166967904154
7,1991,24.1390322580645,10.4609677419355,1.4873898110907
8,1991,27.5129032258064,13.2790322580645,1.81219272456669
9,1991,31.0096666666667,16.6896666666667,2.53871432502456
7,1992,20.1261290322581,9.09064516129032,1.32303805613403
8,1992,23.2212903225806,11.2954838709677,1.64614208857362
9,1992,24.12,13.5103333333333,2.09134340766787
7,1993,22.1016129032258,10.4696774193548,1.38101362156858
8,1993,25.0487096774194,11.6241935483871,1.64990693849978
9,1993,27.8716666666667,15225,2.19480479539578
7,1994,23.5222580645161,11.3067741935484,1.48775651905075
8,1994,26.9712903225806,12.1174193548387,1.7087453677047
9,1994,30.8943333333333,16.2236666666667,2.31188829609324
7,1995,25.3761290322581,13.9470967741935,1.59134447064717
8,1995,29.1922580645161,13.768064516129,1.68797600965433
9,1995,31.3106666666667,16.4136666666667,2.10847629781804
7,1996,22.43,8.90322580645161,1.56178466941764
8,1996,27.41,14.0309677419355,1.69461770824767
9,1996,27.3536666666667,13208,1.93976273328477
7,1997,24.861935483871,12.9977419354839,1.70395735516891
8,1997,25.3732258064516,12.438064516129,1.56878782985905
9,1997,30.5213333333333,16885,2.08477433143953
7,1998,24.7009677419355,13.4074193548387,1.77431129265501
8,1998,25.1190322580645,14.5351612903226,1.62277253293986
9,1998,24866,14576,1.70412967172923
7,1999,23.4787096774194,12.038064516129,1.77048739695999
8,1999,26.2987096774194,11.4925806451613,1.55068666509579
9,1999,29.41,14.8586666666667,1.81870455022056
7,2000,20.3816129032258,6.96677419354838,1.59335829327188
8,2000,26.0341935483871,13.4267741935484,1.65029250174091
9,2000,25.5253333333333,14764,1.60347268503163
7,2001,24.0064516129032,11.3941935483871,1.88759859943988
8,2001,28.1777419354839,14.0306451612903,1.77355651288575
9,2001,28622,15.8476666666667,1.7558276776354
7,2002,24.3174193548387,11.4438709677419,1.96500865730955
8,2002,29.4664516129032,14.5083870967742,1.79425383610347
9,2002,29.8226666666667,13979,1.66252573776074
7,2003,24.7232258064516,12.4745161290323,2.12158382734131
8,2003,23.8074193548387,8.88709677419355,1.57160871226853
9,2003,28105,14179,1.6858261932068
7,2004,22.1845161290323,11.5454838709677,1.99847175631169
8,2004,24.9664516129032,11.7358064516129,1.801903979439
9,2004,29.2043333333333,15173,1.8155539178524
7,2005,22.9670967741936,9.82322580645161,2.14630578189806
8,2005,29.1870967741936,12.7712903225806,1.8989277874973
9,2005,24.3833333333333,12181,1.49960463275105
7,2006,27.3312903225806,13.3122580645161,2.51862166086771
8,2006,27.2922580645161,12.3806451612903,1.89578493347128
9,2006,27438,13.8576666666667,1.62344230306623
7,2007,21.8887096774194,9.28225806451613,2.26526702251124
8,2007,25.9790322580645,11.9254838709677,1.97719218724757
9,2007,32.5273333333333,16781,1.82902504420455
7,2008,27.5196774193548,13.3554838709677,2.76442490280267
8,2008,26.7893548387097,14.0248387096774,2.13064185486263
9,2008,28.0116666666667,12225,1.67562857000101
7,2009,21.5058064516129,11.6364516129032,2.32895970010605
8,2009,25.2509677419355,12.9925806451613,2.12249900491359
9,2009,27.1043333333333,15.1523333333333,1.78732181804108
7,2010,23.0661290322581,11.4748387096774,2.56425916561461
8,2010,25.8529032258065,10.7664516129032,2.27662341129976
9,2010,29.0726666666667,15434,1.87077648505799
7,2011,23.9293548387097,12.8093548387097,2.67469154778017
8,2011,25.1087096774194,12.5361290322581,2.23778071435412
9,2011,29.23,13.6043333333333,1.98318297932327
7,2012,22.7083870967742,11.1070967741936,2.77778923838835
8,2012,28.4554838709677,14.2109677419355,2.60576523077717
9,2012,31519,15.2186666666667,2.06092672428288
7,2013,22.9316129032258,11.1412903225806,2.83346953138802
8,2013,23.8406451612903,10.0432258064516,2.39983695834162
9,2013,28.3753333333333,14.0283333333333,2.0762925991008
7,2014,23.2209677419355,11.4977419354839,2.88109067027064
8,2014,27.6309677419355,13.8483870967742,2.79353382723767
9,2014,30875,17.7723333333333,2.2717275939182
7,2015,23.4329032258065,12.8625806451613,2.92476351625059
8,2015,29.9177419354839,14.7535483870968,2.9894769075789
9,2015,29.7736666666667,16.55,2.33181203191622
7,2016,23.3816129032258,11.2541935483871,3.13635862200235
8,2016,25.3864516129032,12.8635483870968,2.76526109674597
9,2016,25757,11725,2.29670576062411
7,2017,23.9509677419355,10.1316129032258,3.49208025676134
8,2017,26.6909677419355,13.898064516129,3.58894784740311
9,2017,32808,16.9236666666667,4.35126388825114
