Mês,Ano,Tmáx,Tmin,ETP
1,1990,28.9716129032258,20.5909677419355,3.34748575733306
2,1990,29.7717857142857,19.3267857142857,3.69165733395313
3,1990,31.2212903225806,20.5932258064516,3.61711075691353
4,1990,29761,20.0786666666667,2.99710830084242
5,1990,25.7829032258064,14.4948387096774,2.11758843128041
6,1990,26.3893333333333,14.3466666666667,1.9059801476877
7,1990,25.0838709677419,11.3577419354839,1.57809518082614
8,1990,29.2293548387097,15.3377419354839,2.11928777815791
9,1990,27708,14437,2.5137484679423
10,1990,31.2290322580645,19.7564516129032,3.39101993457933
11,1990,30725,20.6853333333333,3.51716376871273
12,1990,30.9083870967742,21.0054838709677,3.7851933911265
1,1991,29.8974193548387,21.1090322580645,3.49391180359129
2,1991,30.3525,20.1335714285714,3.67729421339632
3,1991,29.0335483870968,19.5625806451613,3.35364406216158
4,1991,28.2916666666667,18198,2.90356285182086
5,1991,27.3177419354839,15.2732258064516,2.42910861395486
6,1991,26.9396666666667,15246,1.94149791538406
7,1991,27.0338709677419,13.0387096774194,1.7497031847921
8,1991,31.0909677419355,15.8058064516129,2.08113895850921
9,1991,33755,19.1773333333333,2.70417908932149
10,1991,31.3838709677419,18.8603225806452,3.27628183044636
11,1991,31.8436666666667,20.4256666666667,3.68471285411157
12,1991,30.3022580645161,20.7590322580645,3.55429147342402
1,1992,29.8035483870968,20.3858064516129,3.67330115447136
2,1992,28.8779310344827,20.4989655172414,3.34148134424069
3,1992,27.9993548387097,19.768064516129,3.13092518396526
4,1992,27161,18.0386666666667,2.86292351850023
5,1992,26.8716129032258,17.2232258064516,2.3640843984815
6,1992,26.3796666666667,15786,1.94851132602695
7,1992,24.7083870967742,12.6138709677419,1.59045890952828
8,1992,28.0490322580645,14.4261290322581,1.90784636487925
9,1992,27.1266666666667,16361,2.28217786782288
10,1992,29.4158064516129,19.5161290322581,2.91499141954285
11,1992,29019,18.8926666666667,3.33553866292449
12,1992,29.8858064516129,20.2551612903226,3.66743209704923
1,1993,29.4596774193548,20.3035483870968,3.63970371339158
2,1993,28.3978571428571,19.0342857142857,3.45845543896176
3,1993,29.7183870967742,20.1064516129032,3.70211418720014
4,1993,28.9856666666667,18.47,3.26909603727924
5,1993,26.491935483871,14.8054838709677,2.41500211897687
6,1993,25.6906666666667,13464,2.03287800623323
7,1993,26.8393548387097,12.8841935483871,1.72793807059138
8,1993,29.888064516129,15.1464516129032,1.92881470223946
9,1993,32.4733333333333,18.64,2.52609362994377
10,1993,33.2887096774194,20.4238709677419,3.33477544424528
11,1993,34825,21.1543333333333,3.74829024771617
12,1993,30.708064516129,21.3335483870968,3.54907762423908
1,1994,30.7709677419355,20.4051612903226,3.87363424864138
2,1994,29.2928571428571,20.7164285714286,3.52230576966933
3,1994,29.0651612903226,19.3187096774194,3.53453845099411
4,1994,28.7483333333333,18.3193333333333,3.25330908518875
5,1994,27.6883870967742,16.1635483870968,2.6990179087964
6,1994,25.6083333333333,13.9593333333333,2.01290089897935
7,1994,26.2993548387097,12.6738709677419,1.75625398829805
8,1994,30.7293548387097,14.7235483870968,2.00909503311647
9,1994,35552,19.6296666666667,2.49644909270643
10,1994,33.3061290322581,21.1841935483871,3.08076121135997
11,1994,31.0933333333333,20.4096666666667,3.52365697078239
12,1994,29.3925806451613,20.7983870967742,3.30199112321759
1,1995,28.4512903225806,20.9806451612903,3.27133387804878
2,1995,28.8778571428571,21.0028571428571,3.43262654408092
