,,Mês,Ano,Tmáx,Tmin,ETP
,,1,1990,30.1183870967742,21.0554838709677,3.57483715905539
,,2,1990,31.1432142857143,19.7896428571429,3.82502461826403
,,3,1990,32.6629032258065,21.0516129032258,3.68024725085102
,,4,1990,29.5963333333333,19.6486666666667,2.80036052453515
,,5,1990,23.801935483871,13.428064516129,1.83713042405226
,,6,1990,22.5426666666667,11.9713333333333,1.55654846612973
,,7,1990,20.6574193548387,8.9,1.29144869245975
,,8,1990,25.548064516129,12.5883870967742,1.83804860318022
,,9,1990,25.8603333333333,12195,2.26348155261393
,,10,1990,29.9616129032258,18.2687096774194,3.18737180527155
,,11,1990,30.19,20.2526666666667,3.43584436577173
,,12,1990,31.5296774193548,20.8616129032258,3.78890427322018
,,1,1991,33.4748387096774,21.2525806451613,4.14857401510928
,,2,1991,32.1517857142857,19.2275,4.11561079225754
,,3,1991,31.3206451612903,20.2345161290323,3.56693127167173
,,4,1991,30712,17932,3.10998875458901
,,5,1991,26.918064516129,14.4083870967742,2.23276713696457
,,6,1991,25.0326666666667,13.6463333333333,1.6220690165778
,,7,1991,24.8267741935484,10.88,1.47725769476988
,,8,1991,28.4370967741936,13.9593548387097,1.79720801471985
,,9,1991,32.3213333333333,17.3073333333333,2.52538319631873
,,10,1991,31.4412903225806,17.7525806451613,3.22178172013333
,,11,1991,33.36,19.6953333333333,3.8689737030363
,,12,1991,31.408064516129,21.4016129032258,3.67355181364712
,,1,1992,34.0848387096774,21.8822580645161,4.33518596727446
,,2,1992,33.8813793103448,21.9993103448276,4.03949432201846
,,3,1992,28.3812903225806,19.9583870967742,3.19320301538678
,,4,1992,27063,16918,2.81037846797698
,,5,1992,24.9990322580645,16.3083870967742,2.05935108535753
,,6,1992,24.6226666666667,15047,1.62894544644531
,,7,1992,20.9809677419355,9.73225806451613,1.32260933891827
,,8,1992,24.3154838709677,11.8264516129032,1.6770139845002
,,9,1992,24.9566666666667,13913,2.09043713110565
,,10,1992,28.3954838709677,18.1322580645161,2.82752286018193
,,11,1992,28.59,17992,3.28081676793877
,,12,1992,31.1725806451613,20.3722580645161,3.90661507170901
,,1,1993,31.2409677419355,21.4712903225806,3.82719147819779
,,2,1993,29.4475,19.0492857142857,3.81576623592773
,,3,1993,31.2409677419355,20.5667741935484,3.78867408046608
,,4,1993,30103,18.4343333333333,3.24322923229198
,,5,1993,25.9506451612903,14.1625806451613,2.24541955504075
,,6,1993,23744,11.9676666666667,1.73513941434197
,,7,1993,22.9170967741935,10.7935483870968,1.40480514022634
,,8,1993,25.9425806451613,12.121935483871,1.6627607873238
,,9,1993,29.18,15.9386666666667,2.16906086933772
