Mês,Ano,Tmáx,Tmin,ETP
1,1990,29.4493548387097,20.7338709677419,3.49495073946434
2,1990,30.3082142857143,19.2403571428571,3.81343946742835
3,1990,31.6193548387097,20.6754838709677,3.59980666045901
4,1990,29.52,19.7903333333333,2.82855753632983
5,1990,24.5735483870968,14.0377419354839,1.89733770874559
6,1990,23.9343333333333,12.8213333333333,1.67711075590779
7,1990,22.3409677419355,9.59483870967742,1.38987300588818
8,1990,27.86,13.7067741935484,1.97455716980066
9,1990,27465,12978,2.40466043748646
10,1990,31.6858064516129,19.0664516129032,3.4258029699162
11,1990,30326,20312,3.47030059175072
12,1990,30.8993548387097,20.8458064516129,3.76424872486937
1,1991,32.0483870967742,21.0541935483871,3.93902889322623
2,1991,31.6967857142857,19.4725,3.95734068419764
3,1991,29.908064516129,19.7048387096774,3.49111951871685
4,1991,29.2526666666667,17.9146666666667,2.96332703154576
5,1991,26.5596774193548,14.3561290322581,2.28773847924494
6,1991,25.1966666666667,13996,1.69099665972581
7,1991,25.2316129032258,11.3690322580645,1.54790101269456
8,1991,29.3551612903226,14.5577419354839,1.88580550949661
9,1991,33.1666666666667,18.0103333333333,2.61471773523883
10,1991,31.4396774193548,17.97,3.24553199547503
11,1991,32742,19.8716666666667,3.80805196656775
12,1991,30.8387096774194,21.2651612903226,3.56964139950495
1,1992,32.1077419354839,21.2083870967742,4.03240133975782
2,1992,33.1865517241379,21.7272413793103,3.95207506994613
3,1992,28.6745161290323,19.7825806451613,3.26633401076823
4,1992,27.1846666666667,17.2,2.79567261023082
5,1992,25.4277419354839,16.5925806451613,2.10530489779471
6,1992,25.2806666666667,15373,1.71338288392288
7,1992,22.3022580645161,10.2809677419355,1.41125325569322
8,1992,26.5296774193548,12.6316129032258,1.80255936320319
9,1992,25.7203333333333,14.4766666666667,2.1562574170081
10,1992,28.9677419354839,18.8535483870968,2.83141674037269
11,1992,29.2473333333333,18.3976666666667,3.36044014453014
12,1992,31.8338709677419,20.74,4.01307432557545
1,1993,31.678064516129,21.3345161290323,3.88567871785871
2,1993,29.4464285714286,18935,3.74959347109391
3,1993,31.8393548387097,20.638064516129,3.87582206050884
4,1993,30438,18.4823333333333,3.36761349115063
5,1993,27.3038709677419,14.8741935483871,2.37310699155089
6,1993,24.9156666666667,12509,1.84912072075101
7,1993,24.4658064516129,11.4422580645161,1.5110580812902
8,1993,27.338064516129,12.8635483870968,1.76049711976714
9,1993,30.7903333333333,16.6576666666667,2.31764018476021
10,1993,32.5277419354839,19.7803225806452,3.04640278183457
11,1993,33.2546666666667,18.8053333333333,3.6857768335428
12,1993,30.9716129032258,21.4361290322581,3.65224964161188
1,1994,31.3841935483871,20.3945161290323,3.9607764566529
2,1994,30.6678571428571,21.1592857142857,3.78470854526731
3,1994,30.8845161290323,19.3083870967742,3.76193155182443
4,1994,30161,17996,3.3726995805809
5,1994,28.1238709677419,16.1867741935484,2.61932399692973
6,1994,24.6616666666667,13.0813333333333,1.87374863810146
7,1994,26.0090322580645,12.1487096774194,1.57656115892304
8,1994,31.1167741935484,13.9290322580645,1.8178106732609
9,1994,34.7046666666667,18.71,2.3905403843065
10,1994,32.3270967741935,20.3493548387097,2.91963606632881
11,1994,31667,20.2096666666667,3.54066927569735
12,1994,31.0141935483871,21.4574193548387,3.57698804778757
1,1995,28.6764516129032,21.6316129032258,3.23706305803485
2,1995,29.5167857142857,21.0460714285714,3.55522839237606
3,1995,30.258064516129,19.871935483871,3.70220933969098
4,1995,28184,15.5326666666667,3.28268034178292
5,1995,27.0922580645161,13.65,2.73633128976042
6,1995,28.0896666666667,14.1416666666667,2.06015082693509
7,1995,28.9635483870968,15.2583870967742,1.6983471532605
8,1995,32.7867741935484,16.138064516129,1.71318756184124
9,1995,35.0006666666667,18908,2.15715355348514
10,1995,30.1522580645161,16.8403225806452,2.68478232856937
11,1995,31.2283333333333,18.9606666666667,3.38100891573046
12,1995,32.1751612903226,20.6696774193548,3.85048833996664
1,1996,30.0361290322581,21.4929032258065,3.4251955414431
2,1996,29.508275862069,20.8879310344828,3.58722482652061
3,1996,29.18,20.1096774193548,3.60642085171011
4,1996,28085,17.9266666666667,3.21867199038622
5,1996,26.5858064516129,15.7506451612903,2.70405065937674
6,1996,23.4553333333333,11438,1.98013591278578
7,1996,25.9345161290323,10.1316129032258,1.73382674446879
8,1996,31.6416129032258,16.3658064516129,1.83018609473286
9,1996,30.2023333333333,14794,2.02745671589676
10,1996,31.9854838709677,19.1896774193548,2.75061976460349
11,1996,30.09,20039,3.15516447777979
12,1996,30.7493548387097,21.2235483870968,3.41839766930659
1,1997,29.3161290322581,21.2351612903226,3.45970056214325
2,1997,29.3135714285714,21.2792857142857,3.46790298921593
3,1997,29.1083870967742,19.1135483870968,3.65227745412874
4,1997,27.6223333333333,16.2223333333333,3.28087147582345
5,1997,25.8467741935484,14.0087096774194,2.79477236140862
6,1997,23.2573333333333,13382,1.86321106222126
7,1997,26.2490322580645,13.4064516129032,1.7874120082736
8,1997,28.1206451612903,13.7529032258065,1.66240612626969
9,1997,34.7706666666667,18.9883333333333,2.25819399073316
10,1997,33.7222580645161,20.0603225806452,2.67435913925748
11,1997,31.7466666666667,21779,3.16434456716845
12,1997,29.9474193548387,20.8932258064516,3.31896838678661
1,1998,33.09,22.2925806451613,4.04374767864587
2,1998,32.2646428571429,22.3896428571429,3.85983583817827
3,1998,30.0258064516129,21.1761290322581,3.58707979652662
4,1998,27828,18.2696666666667,3.1275381731387
5,1998,24.0541935483871,13.3761290322581,2.67276095429212
6,1998,24.9376666666667,12.6703333333333,2.20856773874538
7,1998,28.4709677419355,14.4358064516129,1.9718420196739
8,1998,27.8616129032258,15.6883870967742,1.78071920967413
9,1998,27625,15.5596666666667,1.87553995893006
10,1998,30.1770967741935,18.5845161290323,2.45446980902419
11,1998,31947,19886,3.22446079235144
12,1998,30.8648387096774,19.8035483870968,3.54443503035858
1,1999,30.0716129032258,21.2477419354839,3.60216945029202
2,1999,30.6275,21.4228571428571,3.76720441293357
3,1999,30.7948387096774,21.3561290322581,3.78352396724506
4,1999,28895,16.7003333333333,3.57320962559136
5,1999,27.1187096774194,13.1283870967742,2.96706766131204
6,1999,25911,12.8373333333333,2.43254144984311
7,1999,26.7932258064516,13.5367741935484,1.93825434799202
8,1999,30.6712903225806,13.5758064516129,1.62961217994775
9,1999,32939,16801,1.85711780487777
10,1999,35.3509677419355,19.7977419354839,2.4396308227827
11,1999,33.3336666666667,17762,3.1288565306404
12,1999,33.8387096774194,21.5258064516129,3.73450888262378
1,2000,34.1548387096774,22.061935483871,4.06722455856032
2,2000,31.8020689655172,21.4231034482759,3.80068631012405
3,2000,29.1993548387097,20.5183870967742,3.49976523367927
4,2000,30.9573333333333,17.8763333333333,3.85925318425879
5,2000,26.5067741935484,13.4496774193548,3.02623339487642
6,2000,26.0763333333333,14.6026666666667,2.29088529942151
7,2000,23.0629032258064,8.57225806451613,1.64856607456007
8,2000,28.7858064516129,14.7341935483871,1.72476712567217
9,2000,27667,15923,1.70038235885059
10,2000,32.9987096774194,19.3332258064516,2.51454681392986
11,2000,31.1496666666667,19.6756666666667,2.92329976183646
12,2000,30.1809677419355,19.7148387096774,3.3113667092529
1,2001,29.83,21.15,3.43662424298972
2,2001,29.2196428571429,21.2860714285714,3.3731264709517
3,2001,29.1383870967742,20.6174193548387,3.52194007614379
4,2001,29124,19133,3.53872552898303
5,2001,24.5390322580645,13.8351612903226,2.85703064807546
6,2001,22688,11.27,2.34170043390897
7,2001,26.9035483870968,12.5570967741935,2.03133763006131
8,2001,31.7883870967742,15.4909677419355,1.87911741010671
9,2001,31.5846666666667,17065,1.88861609268412
10,2001,30.6512903225806,18.1632258064516,2.30012484308506
11,2001,30241,20.8283333333333,2.65229694478941
12,2001,28.6403225806451,19.1435483870968,3.10931173997696
1,2002,31.1616129032258,20.4474193548387,3.62477205610401
2,2002,30.4785714285714,20.0253571428571,3.76829240387012
3,2002,31.121935483871,21.4377419354839,3.78589375423529
4,2002,33.6103333333333,20574,4.22471703168123
5,2002,28.5390322580645,17.3261290322581,3.2145680417377
6,2002,29.7266666666667,15158,2.85329617278051
7,2002,27.82,13.0916129032258,2.09695695894376
8,2002,32.1,16.0296774193548,1.85727184252928
9,2002,32.2026666666667,16.1596666666667,1.67586044232595
10,2002,36.4787096774194,22.4622580645161,2.41677801701615
11,2002,32.7553333333333,20.5123333333333,2.67474586671262
12,2002,31.7383870967742,22.068064516129,3.14347232180662
1,2003,29.9838709677419,21.9193548387097,3.30504101486925
2,2003,29.4642857142857,21.3739285714286,3.4311445209957
3,2003,29.8383870967742,20.3387096774194,3.64542226600989
4,2003,27611,16.7286666666667,3.54051320384687
5,2003,25.6503225806452,12.5870967741936,3.19303300739642
6,2003,27.1493333333333,14094,2.92909725789596
7,2003,27.6054838709677,13.4212903225806,2.24056587412963
