,MES,ANO,TMAX,TMIN,ETP
,1,1994,32.2903225806452,20.9983870967742,4.04901647601017
,2,1994,31.3128571428572,21.5414285714286,3.87439623054123
,3,1994,31.5909677419355,19.7225806451613,3.85399079772202
,4,1994,31.1556666666667,18587,3.52089742358312
,5,1994,28.9761290322581,16.7467741935484,2.72422457709009
,6,1994,25.9866666666667,13.5093333333333,1.96629240920173
,7,1994,27.1190322580645,12.5638709677419,1.66267015433614
,8,1994,31.8429032258065,14.5803225806452,1.88296545507317
,9,1994,35.7923333333333,19466,2.42116467322238
,10,1994,33.6274193548387,21.1474193548387,3.04428089305203
,11,1994,32912,20716,3.77485581646847
,12,1994,31.6387096774194,21.6725806451613,3.67130165270983
,1,1995,29.5538709677419,21.7883870967742,3.42437805239561
,2,1995,30395,21.4896428571429,3.73497859675369
,3,1995,31.2409677419355,20.4848387096774,3.91129890306546
,4,1995,29.2666666666667,16398,3.42503040409639
,5,1995,28.9132258064516,14.6854838709677,2.8732039118855
,6,1995,29141,14.6216666666667,2.14716488671215
,7,1995,29.7767741935484,15.9187096774194,1.80213570277625
,8,1995,33.7232258064516,17.1987096774194,1.76323440062653
,9,1995,35.1406666666667,19.1806666666667,2.22578063262848
,10,1995,30.7406451612903,17.1167741935484,2.84352842965411
,11,1995,31.5006666666667,19.0883333333333,3.47572959064576
,12,1995,32.3432258064516,20.9861290322581,3.83940756101108
,1,1996,30.408064516129,21.5867741935484,3.57146502603269
,2,1996,30.0627586206896,21.1644827586207,3.67504405665515
,3,1996,29.8267741935484,20.7051612903226,3.66331757952817
,4,1996,28604,18.2593333333333,3.34485225894277
,5,1996,26.6167741935484,16.0425806451613,2.766563569319
,6,1996,24.2336666666667,12.2926666666667,2.0912346254911
,7,1996,26.318064516129,10.5061290322581,1.84298158378278
,8,1996,31.7045161290323,16.308064516129,1.88632094232457
,9,1996,30.3406666666667,15.8106666666667,2.10672833902819
,10,1996,31.7209677419355,19.6722580645161,2.80918735089696
,11,1996,30.1763333333333,20152,3.210046970321
,12,1996,30.8335483870968,21.3703225806452,3.50828747588686
,1,1997,29.331935483871,21.2767741935484,3.43730028265213
,2,1997,30.0021428571428,21.2625,3.68198346848227
,3,1997,29.6367741935484,19.3709677419355,3.76892983018569
,4,1997,28.2286666666667,16615,3.41906906414391
,5,1997,26.38,14.3174193548387,2.91604695770141
,6,1997,24.0183333333333,13.57,2.01489939358836
,7,1997,26.6461290322581,13.6467741935484,1.88056018044755
,8,1997,28.0045161290323,13.8877419354839,1.74249286283464
,9,1997,34765,19398,2.32480492675859
,10,1997,34.5977419354839,20.6632258064516,2.80722006105695
,11,1997,32.1813333333333,21899,3.26967302809272
,12,1997,30.711935483871,21.3277419354839,3.4976191387981
,1,1998,32.9354838709677,22.4083870967742,4.05691281483835
,2,1998,32.0667857142857,22.5660714285714,3.88451552003304
,3,1998,30.5038709677419,21.5690322580645,3.75221976823035
