@relation dados-climaticos-inverno

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP-Pmoith numeric

@data
27.9,11.2,2.618564
26.4,12.8,2.636968
30.4,12.3,2.885157
29.4,16.8,3.135422
31.6,15.8,3.230975
29.2,17,3.162906
25.8,10.8,2.516527
31.1,10.8,2.893324
32.9,15,3.321747
30.5,18.4,3.405437
25,17.6,2.979137
29,15.4,3.117915
28.4,12.2,2.862797
27.8,15.6,3.072696
28.2,14.5,3.035321
28,15.8,3.125926
27.8,11.9,2.844483
30.6,13.8,3.193625
32.1,13.6,3.299778
31.2,16,3.42103
30.8,20.2,3.710308
30.1,17.2,3.453853
29.6,16.8,3.400489
30,16.6,3.427419
31.3,16.2,3.505982
28.6,17.2,3.39229
25.2,16.2,3.076916
25.8,7.7,1.815462
27.6,7.2,1.886274
26.1,8.5,1.876036
25,11.2,1.963676
26.9,9.8,1.991957
26.8,12,2.107434
25.6,11,1.989609
25.6,12.8,2.089476
25.7,7.4,1.803054
24.1,11.1,1.919784
24.2,14.8,2.129891
26.4,11.1,2.050976
26.2,11.2,2.048755
26.6,5.9,1.783377
26.5,7.4,1.863599
27.1,11.8,2.142625
28,9.5,2.069767
28.8,8.3,2.052139
29,9.8,2.151076
28.9,10.2,2.172897
27.6,14,2.317612
25,12.2,2.077881
22.9,11.6,1.932288
23.3,13,2.038815
24.2,11.4,2.005312
24.6,13,2.124331
25.2,12.8,2.153576
27.1,14.4,2.359426
27.8,9.4,2.121879
26.8,7.9,1.985928
26.4,10.5,2.119104
25,12.5,2.161142
26.8,10.8,2.174699
26.7,11.8,2.234926
25,13.6,2.249114
24.6,11.8,2.129005
25.3,12.8,2.23707
26.2,12.8,2.298927
26,14.4,2.390966
26.3,12.4,2.299634
27.4,12.1,2.356804
27.6,13.2,2.444482
26,11.3,2.244171
25,10.1,2.120771
28.6,10.1,2.348307
29.8,11,2.486439
29.8,11.3,2.515639
29.6,13.2,2.631194
29.4,13.6,2.655173
28,14.2,2.61736
30,15,2.803498
29.8,13,2.678411
30,13.6,2.740773
29.6,15.6,2.854202
30.8,14.4,2.867144
27,11.2,2.434128
27.7,11.6,2.515616
29.2,8,2.39204
27,10.3,2.409397
26.6,11,2.439839
27.2,10.2,2.437906
29.1,10.2,2.5734
29,11.8,2.683742
28.6,14.2,2.828039
29.3,12.7,2.787701
28.4,14.2,2.84024
28.7,14.6,2.899842
29,16.2,3.040585
26.7,14.6,2.790562
28,15.4,2.945397
28.5,16.8,3.08783
29.3,14.8,3.019138
28.4,16.4,3.080339
26.8,16.8,3.010714
27.2,14.8,2.912597
27.8,13.8,2.897059
28.2,11.4,2.769339
28.6,11.8,2.837022
28.8,13.6,2.989719
29.3,14.5,3.101016
30.3,13,3.077972
29.6,14.6,3.154473
30.6,17.6,3.453503
29,15.4,3.193625
29.8,14.3,3.184249
24.8,15.6,2.92817
26,15.8,3.040998
27.2,17.1,3.234793
30,14,3.224601
30.2,16.2,3.412709
30.2,16,3.410029
28.4,16,3.288596
24,8.8,1.77742
25.5,9.8,1.913009
25.4,11,1.972999
24.4,11.5,1.946523
24.6,9.6,1.855186
26.4,13.4,2.160214
30,10.8,1.173211
26.1,10.6,1.995045
24.8,10.2,1.90447
25.7,10.6,1.977367
26,10.8,2.007047
26.4,12.4,2.118969
26,12.4,2.100199
26.9,9.6,1.999454
27.4,9.2,2.008357
27.3,9.8,2.039514
27.6,12,2.181181
25.4,13,2.119441
28.3,14.5,2.367427
28,14.2,2.339572
28.6,15.2,2.434089
23.5,13,2.033481
25,11.4,2.033196
25.9,12.1,2.128317
28.6,11,2.224162
25.8,10.2,2.027844
26.6,12,2.180829
27.1,11.7,2.198915
26.8,13.2,2.274145
23.7,12.2,2.047728
21.8,10.2,1.831403
21,8.6,1.699877
22.3,11.9,1.970961
22.2,8.2,1.758267
21.6,8,1.718281
23.2,8.6,1.852897
22.4,8.8,1.824862
23.9,9,1.931748
25.8,6.7,1.915773
28.2,9.2,2.213419
27.8,11.2,2.317461
28.4,12.6,2.446303
26.4,11.6,2.276723
24,8.1,1.931311
24.4,9,2.018056
26,8.6,2.09952
27.6,10,2.291424
27.2,13.3,2.478914
25.8,7.7,2.059463
25.8,11.2,2.284684
27.4,8,2.195606
23.6,10.8,2.143119
22.6,11,2.102677
24.4,9.2,2.112155
26.1,10,2.279573
27.6,9.8,2.372372
28.8,8.8,2.395896
29.9,10.3,2.573226
29.5,12,2.668539
33.3,11.2,2.874482
30,13.2,2.803219
31.8,11,2.789903
31.3,12,2.835324
31.4,12.1,2.861342
31.1,13.4,2.940367
30.7,13.2,2.913811
32.5,12.4,2.993587
31,15.8,3.13424
30.4,16.5,3.154944
31,16.2,3.189214
29.8,15.6,3.081129
29,12.2,2.808358
33.1,11,3.019138
30.6,17,4.207963
30.8,11.6,2.92785
30.4,11.8,2.926466
30.4,17,4.234163
29.6,15.4,3.146976
29.4,13.6,3.019603
29.2,13.2,2.989719
30.6,13.6,3.129336
30.6,11.6,2.999779
28.8,11.6,2.883274
29.4,12.6,3.009277
31.6,14.8,3.337482
31.8,14.6,3.350321
31.8,14.2,3.334055
30.6,16.8,3.448404
30.4,10,2.950014
31.2,15.2,3.400489
30.7,14.4,3.317094
31.2,14.6,3.380505
25.7,12.4,2.065185
22.2,14.5,1.988899
24.6,10.8,1.918313
24.6,8.8,1.810043
26.6,9,1.929636
26.4,15,2.244737
26.3,15.1,2.245751
25.8,15.2,2.225347
25,12.7,2.047687
26,11.4,2.033097
26.3,10.2,1.98609
27.2,9.2,1.982815
26.8,11,2.061586
26.8,8.1,1.905979
26.8,8.6,1.936121
26.2,10.2,1.993976
23.2,12,1.931535
19.6,11.1,1.687684
21.9,11.1,1.817651
22.2,11.2,1.843472
22,10.8,1.81429
24.1,13.8,2.101179
23.4,9.8,1.845017
24.2,9,1.849632
26.2,12.9,2.18401
27.9,10.7,2.161922
29.2,11,2.257861
26.2,15.1,2.326388
27.4,14.4,2.361623
26.8,14.4,2.33493
27.8,12.4,2.285516
27.2,13.6,2.327223
27,11.6,2.20913
28.4,12.1,2.325845
27.6,13.1,2.345559
28.2,12.8,2.371347
27.4,12.4,2.310391
27.8,13,2.377302
25.6,14.2,2.327869
26.2,16.2,2.489548
25.3,12.4,2.222296
25.3,11.5,2.17791
24.9,12.6,2.228328
26.2,16,2.517902
25,14.6,2.372585
26.8,12.8,2.382552
26.8,13.6,2.441001
26.4,11.6,2.305831
29.2,15,2.693642
26.8,12.8,2.423827
28.8,10.7,2.428322
29.2,11,2.482278
29.8,14.6,2.75381
28.8,12.2,2.554299
28.8,12.6,2.590799
28.2,13.6,2.627622
28.8,13,2.639505
29.4,13.2,2.70222
27.2,13.8,2.612546
26.8,11,2.419601
26.6,13,2.546365
27.2,11.3,2.486911
28.1,10.7,2.517706
31.4,11,2.763829
31,10.9,2.743651
30.7,13.4,2.900809
29.4,15.4,2.96019
30.4,11.2,2.761151
31.6,13.2,2.986919
