@relation dados-climaticos-verao

@attribute Data date dd/MM/yyyy
@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP-Pmoith numeric

@data
12/03/2001,25.2,18.3,3.339089
13/03/2001,24.6,17,3.183604
14/03/2001,23,18.3,3.150911
15/03/2001,26.4,15.1,3.156228
16/03/2001,27.8,16.6,3.365978
17/03/2001,28.6,15.4,3.32478
18/03/2001,28.9,17.5,3.494495
19/03/2001,27.6,16.4,3.302553
20/03/2001,26.6,17,3.979369
22/12/2001,26.8,18.6,3.792395
23/12/2001,28.2,15.6,3.658978
24/12/2001,27.6,17,3.726005
25/12/2001,27.8,16.2,3.676028
26/12/2001,26.7,17.5,3.692841
27/12/2001,22.7,17.6,3.367055
28/12/2001,23.8,17.2,3.42555
29/12/2001,21.6,17.8,3.291837
30/12/2001,23.9,18.3,3.525692
31/12/2001,24.6,18.6,3.609104
01/01/2002,26.6,17.6,3.692458
02/01/2002,28.2,19.4,3.97623
03/01/2002,29.1,16.7,3.825557
04/01/2002,28,17.4,3.791778
05/01/2002,33.1,16.4,4.133739
06/01/2002,29,17.4,3.874355
07/01/2002,27.4,17.3,3.731857
08/01/2002,25,18.4,3.622725
09/01/2002,25.4,18.7,3.680479
10/01/2002,24.4,17.8,3.521193
11/01/2002,24.6,18.3,3.578801
12/01/2002,27.4,17.6,3.75307
13/01/2002,25.8,17.4,3.60199
14/01/2002,25.4,17,3.534267
15/01/2002,26.2,17.7,3.65816
16/01/2002,25.4,17.6,3.581962
17/01/2002,25,17,3.4974
18/01/2002,23.4,18.4,3.479402
19/01/2002,26,18.6,3.71094
20/01/2002,28.4,18.6,3.90891
21/01/2002,29.6,17.8,3.94033
22/01/2002,29.9,16.8,3.880207
23/01/2002,30.2,17,3.919679
24/01/2002,30,15.1,3.743191
25/01/2002,31.2,14.8,3.815629
26/01/2002,31.2,17.2,4.012196
27/01/2002,28,16.6,3.694753
28/01/2002,29.2,17.2,3.8412
29/01/2002,28.4,17.2,3.772215
30/01/2002,30.7,16.6,3.909843
31/01/2002,28.3,18.4,3.857137
01/02/2002,29,15.4,3.664074
02/02/2002,29.8,19.2,4.040108
03/02/2002,26.9,19,3.781006
04/02/2002,26.8,17.1,3.612757
05/02/2002,23.4,17.4,3.354249
06/02/2002,27.8,14.8,3.498538
07/02/2002,25.4,17.4,3.511099
08/02/2002,26.4,17.2,3.572631
09/02/2002,26.4,17.2,2.815414
10/02/2002,27.9,18.6,3.801002
11/02/2002,24.4,17,3.37976
12/02/2002,26.4,16.6,3.505684
13/02/2002,28.5,16.8,3.688074
14/02/2002,27.2,19.4,3.788455
15/02/2002,27.2,17.8,3.652927
16/02/2002,28.9,17,3.720237
17/02/2002,28,19.6,3.851865
18/02/2002,27.4,19.6,3.797035
19/02/2002,27.4,19.6,3.79056
20/02/2002,25.8,18.8,3.590666
21/02/2002,29.2,19,3.873445
22/02/2002,29.6,18.8,3.882229
23/02/2002,29.8,18.6,3.874732
24/02/2002,31.4,17.8,3.930943
25/02/2002,28.2,17.8,3.667748
26/02/2002,25.2,16.9,3.349716
27/02/2002,28.3,16.5,3.556824
28/02/2002,28.7,14.3,3.406318
01/03/2002,26.4,17,3.430148
02/03/2002,29.6,14,3.437871
03/03/2002,29.2,16,3.555454
04/03/2002,29,16.2,3.546681
05/03/2002,28.4,14.1,3.326389
06/03/2002,29.2,15.5,3.489517
07/03/2002,29.2,16.9,3.589266
08/03/2002,29.4,15.4,3.478588
09/03/2002,29.3,17.3,3.608315
10/03/2002,28.9,17.6,3.590362
11/03/2002,28.8,17.1,3.533768
12/03/2002,29,16.8,3.515639
13/03/2002,29.4,17.1,3.558596
14/03/2002,30.4,16.3,3.562895
15/03/2002,28.3,17.5,3.483259
16/03/2002,27.7,15.4,3.267424
17/03/2002,26.6,18.3,3.392787
18/03/2002,29.2,16.5,3.441777
19/03/2002,28.7,17.8,3.490198
20/03/2002,28.2,18.3,3.478208
22/12/2002,29.6,18.6,4.026287
