Data,TMAX,TMIN,ETP-Pmoith
23/7/2001,23,11.7,1.99977652175444
24/7/2001,28.4,12.8,2.38291471529332
25/7/2001,27.6,12.6,2.33361122286281
26/7/2001,27.1,12.5,2.30738159745077
27/7/2001,27.4,12,2.30447286102924
28/7/2001,26.1,12.9,2.28991411422371
29/7/2001,27.4,10.4,2.22819084889018
30/7/2001,26.1,14.3,2.39096626910894
31/7/2001,24,12.8,2.18673222032134
1/8/2001,26,13.2,2.3389043395147
2/8/2001,25.6,12.3,2.27073166970269
3/8/2001,25.4,12.8,2.29831998360393
4/8/2001,25.4,13.4,2.34432808817323
5/8/2001,26.2,11.6,2.29369526764569
6/8/2001,26.6,11.3,2.30970657605861
7/8/2001,26.4,11.2,2.30141147040529
8/8/2001,25.4,10.1,2.18241570285431
9/8/2001,25.4,12.6,2.34643224625077
10/8/2001,26.1,11.1,2.30724652503559
11/8/2001,26.2,9.3,2.21164871030591
12/8/2001,26.4,13,2.46563965031651
13/8/2001,25.8,13.8,2.48932610500456
14/8/2001,24.8,11.9,2.31746038982562
15/8/2001,25,11.2,2.29625282359247
16/8/2001,25.4,12.1,2.38952361851711
17/8/2001,26,11.1,2.37479312809315
18/8/2001,26,12,2.44348133854867
19/8/2001,27.1,12.8,2.57734464397957
20/8/2001,26.4,14,2.62152886337585
21/8/2001,27,13.4,2.63346008372473
22/8/2001,29.5,11.4,2.67816993099324
23/8/2001,30.6,12.6,2.84160899557446
24/8/2001,30.4,15.8,3.0526961310157
25/8/2001,33.3,14.4,3.16603187730522
26/8/2001,29,12.9,2.79356978643299
27/8/2001,30.5,13.6,2.95341873877545
28/8/2001,25.6,17.2,2.87913840708898
29/8/2001,28.8,17.2,3.1081318644647
30/8/2001,20.3,15,2.39567966536455
31/8/2001,27.3,11.9,2.67202976268155
1/9/2001,28.4,15.6,3.01229148067314
2/9/2001,28.8,14,2.9428239212903
3/9/2001,29.1,13,2.90713439387394
4/9/2001,29.8,14.8,3.09290036737118
5/9/2001,30,14.8,3.11990925659091
6/9/2001,29,16.1,3.15396942301868
7/9/2001,29.2,15.5,3.13898237212298
8/9/2001,35.5,15.2,3.57497083145344
9/9/2001,32.8,13.4,3.27093453074071
10/9/2001,32.3,14.6,3.33387713778183
11/9/2001,33.9,15.8,3.54699822502257
12/9/2001,34.4,20,3.89772978143061
13/9/2001,29.4,16.6,3.30871066210301
14/9/2001,28.7,17.1,3.30699818305377
15/9/2001,29.2,15.2,3.21808775155264
16/9/2001,24.8,14.8,2.88094521978147
17/9/2001,23.2,12.1,2.5776115526712
18/9/2001,27.1,12.8,2.92412720948131
19/9/2001,27,12,2.86844058349085
20/9/2001,28.2,14,3.11478823931171
21/9/2001,28.9,14.8,3.23674850513403
22/9/2001,29.5,16,3.38163465640642
22/6/2002,24.6,13.4,2.05933030370835
23/6/2002,25.2,13.6,2.10308664345697
24/6/2002,25.3,10.8,1.95736729388519
25/6/2002,25.7,13.5,2.12641183948514
26/6/2002,26.2,12.6,2.10593772511438
27/6/2002,26.2,12.1,2.08027663786242
