@relation dados-climaticos-inverno

@attribute Data date dd/MM/yyyy
@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP-Pmoith numeric

@data
29/08/2001,28.8,17.2,3.108132
30/08/2001,20.3,15,2.39568
31/08/2001,27.3,11.9,2.67203
01/09/2001,28.4,15.6,3.012291
02/09/2001,28.8,14,2.942824
03/09/2001,29.1,13,2.907134
04/09/2001,29.8,14.8,3.0929
05/09/2001,30,14.8,3.119909
06/09/2001,29,16.1,3.153969
07/09/2001,29.2,15.5,3.138982
08/09/2001,35.5,15.2,3.574971
09/09/2001,32.8,13.4,3.270935
10/09/2001,32.3,14.6,3.333877
11/09/2001,33.9,15.8,3.546998
12/09/2001,34.4,20,3.89773
13/09/2001,29.4,16.6,3.308711
14/09/2001,28.7,17.1,3.306998
15/09/2001,29.2,15.2,3.218088
16/09/2001,24.8,14.8,2.880945
17/09/2001,23.2,12.1,2.577612
18/09/2001,27.1,12.8,2.924127
19/09/2001,27,12,2.868441
20/09/2001,28.2,14,3.114788
21/09/2001,28.9,14.8,3.236749
22/09/2001,29.5,16,3.381635
22/06/2002,24.6,13.4,2.05933
23/06/2002,25.2,13.6,2.103087
24/06/2002,25.3,10.8,1.957367
25/06/2002,25.7,13.5,2.126412
26/06/2002,26.2,12.6,2.105938
27/06/2002,26.2,12.1,2.080277
28/06/2002,26,11.3,2.027661
29/06/2002,25.6,9.8,1.926236
30/06/2002,26.2,11.8,2.069971
01/07/2002,25.6,11.4,2.017955
02/07/2002,23.8,11.8,1.944208
03/07/2002,24,10.2,1.87049
04/07/2002,24.8,10.7,1.944674
05/07/2002,24.3,10.4,1.904098
06/07/2002,27.2,14.2,2.2759
07/07/2002,27.7,9.6,2.054496
08/07/2002,25.9,10.5,2.009053
09/07/2002,28.2,10.3,2.129578
10/07/2002,28.1,12.2,2.234236
11/07/2002,28.4,14.2,2.367402
12/07/2002,28.8,15.4,2.462462
13/07/2002,27.8,13.2,2.290138
14/07/2002,28,13.5,2.324346
15/07/2002,27.7,12.5,2.257861
16/07/2002,26.6,14.3,2.303856
17/07/2002,28.1,11.6,2.242977
18/07/2002,26.8,11.6,2.176246
19/07/2002,26.5,12.4,2.211606
20/07/2002,26.4,12.2,2.201735
21/07/2002,26.4,10.4,2.106114
22/07/2002,28.2,10.4,2.216732
23/07/2002,28.8,13.3,2.426242
24/07/2002,29,14.1,2.492806
25/07/2002,27.1,13.3,2.345221
26/07/2002,27.8,13.4,2.400609
27/07/2002,27.8,12.9,2.380509
28/07/2002,30.1,11,2.413217
29/07/2002,28.8,16.3,2.658503
30/07/2002,27.5,14.1,2.461985
31/07/2002,27.9,13,2.430363
01/08/2002,28.8,11.8,2.422437
02/08/2002,29.4,14.3,2.618232
03/08/2002,31.4,13.8,2.719478
04/08/2002,31.8,14.3,2.7854
05/08/2002,30.4,15.1,2.760929
06/08/2002,29.9,14.1,2.681454
07/08/2002,30.4,16.1,2.84616
08/08/2002,29.1,15.3,2.729557
09/08/2002,28.2,12.1,2.488453
10/08/2002,28.8,12.3,2.549135
11/08/2002,28.4,14.8,2.691358
12/08/2002,29.2,12.5,2.609573
13/08/2002,28,13,2.577333
14/08/2002,29.8,11.4,2.601618
15/08/2002,29.4,13.5,2.72125
16/08/2002,28.4,13.7,2.682639
17/08/2002,28.6,13.6,2.701247
18/08/2002,27.3,15.3,2.739271
19/08/2002,26.6,13.8,2.609642
20/08/2002,26.6,14.4,2.660462
21/08/2002,26.8,12.8,2.581312
22/08/2002,28.2,14.5,2.796036
23/08/2002,27.9,15,2.821876
24/08/2002,28.6,15.5,2.913937
25/08/2002,28.4,12.8,2.734602
26/08/2002,27.6,12.5,2.67356
27/08/2002,27.9,11.2,2.618564
28/08/2002,26.4,12.8,2.636968
29/08/2002,30.4,12.3,2.885157
30/08/2002,29.4,16.8,3.135422
31/08/2002,31.6,15.8,3.230975
01/09/2002,29.2,17,3.162906
02/09/2002,25.8,10.8,2.516527
03/09/2002,31.1,10.8,2.893324
04/09/2002,32.9,15,3.321747
05/09/2002,30.5,18.4,3.405437
06/09/2002,25,17.6,2.979137
07/09/2002,29,15.4,3.117915
08/09/2002,28.4,12.2,2.862797
09/09/2002,27.8,15.6,3.072696
10/09/2002,28.2,14.5,3.035321
11/09/2002,28,15.8,3.125926
12/09/2002,27.8,11.9,2.844483
13/09/2002,30.6,13.8,3.193625
14/09/2002,32.1,13.6,3.299778
15/09/2002,31.2,16,3.42103
16/09/2002,30.8,20.2,3.710308
17/09/2002,30.1,17.2,3.453853
18/09/2002,29.6,16.8,3.400489
19/09/2002,30,16.6,3.427419
20/09/2002,31.3,16.2,3.505982
21/09/2002,28.6,17.2,3.39229
22/09/2002,25.2,16.2,3.076916
22/06/2003,25.8,7.7,1.815462
23/06/2003,27.6,7.2,1.886274
24/06/2003,26.1,8.5,1.876036
25/06/2003,25,11.2,1.963676
26/06/2003,26.9,9.8,1.991957
27/06/2003,26.8,12,2.107434
28/06/2003,25.6,11,1.989609
29/06/2003,25.6,12.8,2.089476
30/06/2003,25.7,7.4,1.803054
01/07/2003,24.1,11.1,1.919784
02/07/2003,24.2,14.8,2.129891
03/07/2003,26.4,11.1,2.050976
04/07/2003,26.2,11.2,2.048755
