@relation dadosClimaticos

@attribute data date yyyy-MM-dd
@attribute tmax numeric
@attribute tmin numeric
@attribute tmed numeric
@attribute etp numeric

@data
2008-05-20,29.2,14.2,21.7,4.7
2008-05-21,28.9,13.5,21.2,3.9
2008-05-22,28.9,14,21.45,4.8
2008-05-23,28.5,14.9,21.7,4.7
2008-05-24,27.9,13.8,20.85,5.3
2008-05-25,27.7,13,20.35,4.4
2008-05-26,27.6,12.9,20.25,5.7
2008-05-27,27.9,12.2,20.05,3.5
2008-05-28,29.4,13.9,21.65,4.4
2008-05-29,25.6,15.7,20.65,1.9
2008-05-30,21.8,18,19.9,1.4
2008-05-31,22.8,14.4,18.6,4.6
2008-06-01,17.8,13.5,15.65,0.2
2008-06-02,25.5,14,19.75,2.9
2008-06-03,26.9,12.4,19.65,3.9
2008-06-04,23.9,15.6,19.75,1.1
2008-06-05,29.2,13.8,21.5,3
2008-06-06,28.5,16.2,22.35,3.4
2008-06-07,28.6,17.1,22.85,4.5
2008-06-08,28.8,15.3,22.05,4.4
2008-06-09,27.9,15.8,21.85,5
2008-06-10,27.6,15.8,21.7,4.4
2008-06-11,29.5,14.8,22.15,4.6
2008-06-12,29,15.8,22.4,4.4
2008-06-13,29.4,15.1,22.25,4.9
2008-06-14,28.8,14.6,21.7,6.3
2008-06-15,28.4,14.8,21.6,4.2
2008-06-16,24.3,13.2,18.75,4.7
2008-06-17,26.2,7.2,16.7,3.8
2008-06-18,27.4,10.6,19,2.8
2008-06-19,28.4,13.2,20.8,4.7
2008-06-20,29.3,14.4,21.85,5.7
2008-06-21,28.4,15.3,21.85,3.7
2008-06-22,26.1,17.4,21.75,3.5
2008-06-23,26.4,14.4,20.4,4.7
2008-06-24,24.8,12.9,18.85,2.5
2008-06-25,23.3,13.5,18.4,3.5
2008-06-26,26.1,11.5,18.8,2.7
2008-06-27,26.7,12.6,19.65,5.4
2008-06-28,26.6,12.6,19.6,4
2008-06-29,27.8,12.3,20.05,4.8
2008-06-30,27.6,13.7,20.65,4.8
2008-07-01,28.1,13.9,21,3.9
2008-07-02,28,13.6,20.8,4.3
2008-07-03,27.6,16.2,21.9,4.3
2008-07-04,26.4,11.6,19,5.3
2008-07-05,27.5,11.1,19.3,5.2
2008-07-06,29.2,11.6,20.4,4.9
2008-07-07,27.4,11.8,19.6,4.1
